Outcode,Postcode,Number_meters,Total_consumption_kwh,Mean_consumption_kwh,Median_consumption_kwh
AB,"AB11 7TF",57,903512,15851.08,16296.76
AB,"AB11 7TH",17,512456,30144.45,26523.91
AB,"AB11 7TJ",12,262854,21904.46,21257.17
AB,"AB11 7TU",17,259430,15260.58,13921.17
AB,"AB11 7TW",32,593475,18546.1,17439.01
AB,"AB11 7TY",27,484980,17962.21,15531.93
AB,"AB11 7TZ",15,284561,18970.74,18075.7
AB,"AB11 7UE",58,1102946,19016.31,19619.39
AB,"AB11 7UF",18,372858,20714.36,20190.51
AB,"AB11 7UG",28,767606,27414.49,27094.53
AB,"AB11 7UH",11,320738,29157.96,30772.54
AB,"AB11 7UR",52,1039938,19998.8,15353.24
AB,"AB11 7US",6,135218,22536.4,21754.71
AB,"AB11 7UU",35,688637,19675.33,14373.67
AB,"AB11 7UW",13,390388,30029.81,25936.27
AB,"AB11 7WA",7,140143,20020.46,20532.38
AB,"AB11 7WB",6,126865,21144.21,21225.14
AB,"AB11 7WD",14,237274,16948.12,15350.73
AB,"AB11 7WE",25,489652,19586.07,19638.41
AB,"AB11 7WG",6,54405,9067.55,9904.3
AB,"AB11 7XH",14,200764,14340.28,14452.76
AB,"AB11 7XU",11,171693,15608.47,16181.64
AB,"AB11 7XY",34,612630,18018.52,18748.94
AB,"AB11 7XZ",8,133280,16660.03,17889.5
AB,"AB11 7YZ",13,160267,12328.21,12272.38
AB,"AB11 8AB",29,239340,8253.1,5420.91
AB,"AB11 8AD",76,465961,6131.06,5308.79
AB,"AB11 8BJ",21,254691,12128.12,11700.75
AB,"AB11 8BL",21,166631,7934.81,7818.52
AB,"AB11 8BN",19,178423,9390.67,6077.62
AB,"AB11 8BP",19,197173,10377.52,8091.66
AB,"AB11 8BQ",21,205281,9775.27,9123.74
AB,"AB11 8BR",36,331196,9199.88,8477.74
AB,"AB11 8BS",20,148773,7438.65,6981.96
AB,"AB11 8BT",30,217461,7248.7,6560.25
AB,"AB11 8BU",18,180931,10051.71,7897.14
AB,"AB11 8BX",29,308908,10652,8868.67
AB,"AB11 8BY",9,172084,19120.4,22147.14
AB,"AB11 8DA",35,423861,12110.32,11498.53
AB,"AB11 8DB",19,227871,11993.21,12615.75
AB,"AB11 8DD",7,130999,18714.11,20477.32
AB,"AB11 8DE",7,127084,18154.79,17417.99
AB,"AB11 8DF",8,50932,6366.47,6325.95
AB,"AB11 8DG",15,269677,17978.47,13915.17
AB,"AB11 8DH",22,338480,15385.45,15612.52
AB,"AB11 8DJ",23,275030,11957.83,8641.42
AB,"AB11 8DL",27,312622,11578.59,11098.1
AB,"AB11 8DN",15,151750,10116.67,9989.89
AB,"AB11 8DP",31,288356,9301.79,7426.09
AB,"AB11 8DQ",22,144492,6567.83,6118.67
AB,"AB11 8DR",26,262368,10091.09,8714.5
AB,"AB11 8DS",34,181694,5343.93,4905.94
AB,"AB11 8DT",36,498576,13849.33,12289.9
AB,"AB11 8DX",30,273301,9110.02,8107.64
AB,"AB11 8DY",30,329937,10997.91,9084.38
AB,"AB11 8EA",37,505789,13669.97,13656.89
AB,"AB11 8EB",15,181380,12092.02,9696.57
AB,"AB11 8ED",37,664280,17953.51,15101.46
AB,"AB11 8EE",19,407894,21468.08,20310.14
AB,"AB11 8EH",38,500440,13169.48,12484.11
AB,"AB11 8EJ",20,315641,15782.05,13342.54
AB,"AB11 8EL",15,256097,17073.15,16805.32
AB,"AB11 8EN",33,387376,11738.68,10269.19
AB,"AB11 8EP",24,251260,10469.15,10205.83
AB,"AB11 8EQ",24,225291,9387.14,9163.45
AB,"AB11 8ES",23,198701,8639.19,8662.44
AB,"AB11 8EU",50,704937,14098.73,13066.24
AB,"AB11 8EW",11,178080,16189.12,15617.26
AB,"AB11 8EY",7,140365,20052.14,18458.12
AB,"AB11 8FA",32,539430,16857.19,15036.71
AB,"AB11 8FB",8,89558,11194.74,10209.13
AB,"AB11 8FD",26,343299,13203.82,12504.13
AB,"AB11 8FP",32,526221,16444.4,14785.26
AB,"AB11 8FR",25,386487,15459.46,15075.43
AB,"AB11 8FS",29,331532,11432.14,9817.8
AB,"AB11 8FT",47,635765,13526.91,12730.88
AB,"AB11 8FX",41,573792,13994.92,12789.04
AB,"AB11 8GA",8,114034,14254.29,15963.4
AB,"AB11 8HA",11,193512,17592.04,17183.73
AB,"AB11 8HB",34,232198,6829.36,7206.81
AB,"AB11 8HD",28,196043,7001.55,6635.23
AB,"AB11 8HE",37,353942,9566.01,9323.16
AB,"AB11 8HF",8,74002,9250.31,9748.54
AB,"AB11 8HH",25,380283,15211.33,17310.87
AB,"AB11 8HJ",28,363003,12964.41,12176.77
AB,"AB11 8HL",14,226643,16188.81,17662.75
AB,"AB11 8HN",49,383883,7834.34,7764.46
AB,"AB11 8HP",32,456513,14266.02,13658.39
AB,"AB11 8HR",18,320952,17830.67,16519.01
AB,"AB11 8HT",5,71051,14210.25,16392.87
AB,"AB11 8HU",35,333104,9517.26,8662.44
AB,"AB11 8HW",30,349764,11658.81,11387.92
AB,"AB11 8HX",42,428324,10198.19,10246.65
AB,"AB11 8HY",17,231637,13625.68,11416.44
AB,"AB11 8JA",22,235337,10697.14,10272.33
AB,"AB11 8JB",40,442773,11069.33,8839.22
AB,"AB11 8JR",28,254828,9100.99,9948.34
AB,"AB11 8JU",45,460135,10225.22,10439.38
AB,"AB11 8JW",50,387684,7753.68,7303.26
AB,"AB11 8LG",23,151773,6598.82,6999.63
AB,"AB11 8LH",36,387737,10770.48,10799.27
AB,"AB11 8LL",17,164358,9668.1,8780.71
AB,"AB11 8LN",5,67937,13587.41,12149.24
AB,"AB11 8LQ",11,198179,18016.29,18074.94
AB,"AB11 8RE",17,283179,16657.56,15729.27
AB,"AB11 8RH",10,167127,16712.69,15355.74
AB,"AB11 8RJ",15,395210,26347.33,23717.85
AB,"AB11 8RL",14,239530,17109.29,17607.19
AB,"AB11 8RN",41,386726,9432.34,8132.86
AB,"AB11 8RP",9,58266,6474.01,6192.5
AB,"AB11 8RQ",5,55730,11145.94,11020.01
AB,"AB11 8RR",5,79870,15974.05,16388.86
AB,"AB11 8RS",28,151253,5401.89,5080.37
AB,"AB11 8RT",18,156476,8693.12,6438.65
AB,"AB11 8RU",31,324330,10462.27,9430.28
AB,"AB11 8RX",21,269803,12847.77,12023.11
AB,"AB11 8RY",13,125578,9659.82,9834.8
AB,"AB11 8SA",18,205607,11422.59,11820.88
AB,"AB11 8SB",23,174148,7571.65,8088.66
AB,"AB11 8SD",20,99468,4973.39,4672.59
AB,"AB11 8SE",29,304718,10507.5,11141.14
AB,"AB11 8SF",42,276469,6582.6,6290.36
AB,"AB11 8SH",5,107872,21574.33,18135.77
AB,"AB11 8SJ",35,247580,7073.73,5819.47
AB,"AB11 8SL",24,218971,9123.78,9028.81
AB,"AB11 8SN",7,86024,12289.15,6539.53
AB,"AB11 8SP",32,375275,11727.35,8181.42
AB,"AB11 8SQ",31,241643,7794.95,6451.52
AB,"AB11 8SR",8,95436,11929.49,12241.63
AB,"AB11 8SS",8,27273,3409.14,2934.15
AB,"AB11 8ST",6,76005,12667.44,11292.41
AB,"AB11 8SU",9,126694,14077.12,14738.06
AB,"AB11 8SW",38,382491,10065.56,7734.01
AB,"AB11 8SX",14,193827,13844.77,12818.54
AB,"AB11 8SY",85,648371,7627.9,7319.98
AB,"AB11 8TA",26,353199,13584.59,13004.71
AB,"AB11 8TB",38,442502,11644.79,9879.25
AB,"AB11 8TD",42,279721,6660.01,5451.56
AB,"AB11 8TE",6,83990,13998.31,15906.29
AB,"AB11 8TF",18,115890,6438.31,6789.75
AB,"AB11 8TH",23,179956,7824.18,5947.48
AB,"AB11 8TJ",16,163924,10245.27,8794.09
AB,"AB11 8TL",26,188293,7242.03,7437.11
AB,"AB11 8TN",19,249287,13120.36,13137.32
AB,"AB11 8TP",13,150209,11554.55,11795.86
AB,"AB11 8TQ",13,185091,14237.78,11615.66
AB,"AB11 8TR",10,137418,13741.82,8342.02
AB,"AB11 8TS",34,211698,6226.42,5736.25
AB,"AB11 8TT",52,442480,8509.24,7848.55
AB,"AB11 8TU",25,138374,5534.97,5350.83
AB,"AB11 8TZ",16,127743,7983.91,9100.42
AB,"AB11 9AA",11,278513,25319.4,16699.35
AB,"AB11 9AH",7,94791,13541.51,6936.56
AB,"AB11 9AJ",29,255773,8819.76,8571.34
AB,"AB11 9AL",29,268618,9262.68,8408.16
AB,"AB11 9AN",22,171191,7781.43,5835.36
AB,"AB11 9AP",22,141799,6445.4,5621.24
AB,"AB11 9AQ",25,176779,7071.16,5951.49
AB,"AB11 9AR",21,182661,8698.15,8134.87
AB,"AB11 9AS",39,377615,9682.45,8414.17
AB,"AB11 9AT",18,133936,7440.92,7486.16
AB,"AB11 9AU",22,173847,7902.14,6381.46
AB,"AB11 9AX",18,142121,7895.62,6169.73
AB,"AB11 9AY",9,114572,12730.2,10813.79
AB,"AB11 9BA",19,161233,8485.95,6986.62
AB,"AB11 9BB",15,182533,12168.86,8847.64
AB,"AB11 9BD",21,225329,10729.97,9870.76
AB,"AB11 9BH",34,287994,8470.42,7691.35
AB,"AB11 9DR",6,61877,10312.91,9369.21
AB,"AB11 9DS",14,139947,9996.18,10115.53
AB,"AB11 9DT",17,186758,10985.74,8727.51
AB,"AB11 9DU",26,270590,10407.29,11492.14
AB,"AB11 9JD",30,247668,8255.59,7761.03
AB,"AB11 9JE",23,230665,10028.92,8721.51
AB,"AB11 9JH",31,285304,9203.35,8510.69
AB,"AB11 9JJ",28,352893,12603.31,11462.73
AB,"AB11 9JN",48,398288,8297.66,8363.44
AB,"AB11 9JP",37,343594,9286.32,9889.78
AB,"AB11 9JQ",43,398586,9269.44,9129.95
AB,"AB11 9JT",12,115061,9588.42,9804.19
AB,"AB11 9JX",9,90947,10105.21,11354.92
AB,"AB11 9JY",12,159898,13324.84,11043.04
AB,"AB11 9JZ",34,360690,10608.54,9049.47
AB,"AB11 9LA",40,472007,11800.18,8487.25
AB,"AB11 9LB",44,349912,7952.55,7452.23
AB,"AB11 9LD",36,329389,9149.68,8911.43
AB,"AB11 9LE",30,332103,11070.11,10532.98
AB,"AB11 9LF",60,716072,11934.54,11436.47
AB,"AB11 9LP",18,219107,12172.61,12081.55
AB,"AB11 9LS",20,243612,12180.6,8885.96
AB,"AB11 9LT",14,180491,12892.2,13484.91
AB,"AB11 9LU",12,108837,9069.74,5668.46
AB,"AB11 9LX",7,86558,12365.38,11904.99
AB,"AB11 9LY",22,253901,11540.93,10374.81
AB,"AB11 9NA",9,93972,10441.33,8404.68
AB,"AB11 9NB",10,77318,7731.75,6611.71
AB,"AB11 9ND",15,126436,8429.05,7029.66
AB,"AB11 9NE",28,267910,9568.2,8111.34
AB,"AB11 9NH",49,332220,6780.01,6143.5
AB,"AB11 9NJ",29,322697,11127.49,9972.87
AB,"AB11 9NL",32,315629,9863.41,5933.97
AB,"AB11 9NN",30,253730,8457.65,6380.02
AB,"AB11 9NP",34,373435,10983.38,8559.05
AB,"AB11 9NQ",28,313028,11179.55,10141.05
AB,"AB11 9NR",21,189864,9041.12,9348.19
AB,"AB11 9NS",22,249983,11362.88,10214.13
AB,"AB11 9NT",5,36024,7204.87,8558.33
AB,"AB11 9NU",20,491596,24579.79,20592.95
AB,"AB11 9NY",12,74092,6174.31,6114.66
AB,"AB11 9PA",42,481182,11456.72,9938.42
AB,"AB11 9PE",32,352283,11008.85,8967.47
AB,"AB11 9PL",7,122491,17498.65,11836.96
AB,"AB11 9PN",5,87717,17543.45,13419.63
AB,"AB11 9PP",6,68491,11415.19,12073.16
AB,"AB11 9QA",17,185378,10904.57,8358.11
AB,"AB11 9QB",53,403166,7606.91,7432.1
AB,"AB11 9QD",46,506153,11003.34,10086.99
AB,"AB11 9QE",23,308031,13392.63,10282.83
AB,"AB11 9QH",32,417863,13058.23,10652.11
AB,"AB11 9QJ",11,152939,13903.52,14716.04
AB,"AB11 9QN",15,104593,6972.89,7143.79
AB,"AB11 9QP",18,122997,6833.16,7104.24
AB,"AB11 9RB",14,99954,7139.6,6862.48
AB,"All postcodes",10911,151627457,13896.75,12638.78
AB,"AB12 3AB",105,742461,7071.06,4865.3
AB,"AB12 3AQ",11,72359,6578.08,5782.3
AB,"AB12 3AT",25,142577,5703.1,4296.68
AB,"AB12 3AU",20,119712,5985.62,5844.87
AB,"AB12 3AX",7,164666,23523.72,19840.65
AB,"AB12 3BB",11,248304,22573.11,19307.04
AB,"AB12 3BF",40,306355,7658.88,6315.88
AB,"AB12 3BJ",5,84889,16977.71,17166.71
AB,"AB12 3BL",16,210425,13151.59,13277.47
AB,"AB12 3BP",52,720479,13855.37,10768.24
AB,"AB12 3BU",32,549359,17167.46,15505.9
AB,"AB12 3BW",14,165282,11805.87,11174.68
AB,"AB12 3BY",21,244107,11624.15,11213.22
AB,"AB12 3BZ",21,224048,10668.96,10848.83
AB,"AB12 3DE",12,174623,14551.94,13540.26
AB,"AB12 3DF",29,236355,8150.16,6681.28
AB,"AB12 3DG",31,347931,11223.59,9674.55
AB,"AB12 3DH",20,244950,12247.5,12778.43
AB,"AB12 3DU",24,341498,14229.09,13135.82
AB,"AB12 3DW",12,164590,13715.87,12340.95
AB,"AB12 3DY",12,208188,17348.99,17569.15
AB,"AB12 3DZ",50,809951,16199.02,15151.52
AB,"AB12 3EF",24,329930,13747.08,14322.61
AB,"AB12 3EG",53,661787,12486.55,10903.89
AB,"AB12 3EH",24,285427,11892.8,12161.76
AB,"AB12 3EY",41,710097,17319.44,16425.9
AB,"AB12 3EZ",6,108844,18140.61,18059.18
AB,"AB12 3FA",43,720084,16746.14,16568.06
AB,"AB12 3FD",22,401507,18250.34,19830.62
AB,"AB12 3FQ",18,184020,10223.31,9067.88
AB,"AB12 3FR",18,169781,9432.28,9344.19
AB,"AB12 3FS",11,125318,11392.51,10186.1
AB,"AB12 3FT",6,66395,11065.9,11895.47
AB,"AB12 3FU",35,269936,7712.46,5130.59
AB,"AB12 3FZ",10,143193,14319.31,14897.24
AB,"AB12 3GD",6,49170,8194.93,6222.78
AB,"AB12 3GJ",6,57195,9532.56,8692.98
AB,"AB12 3GN",6,63549,10591.52,10340.2
AB,"AB12 3GT",6,87813,14635.55,14158.93
AB,"AB12 3HD",46,1074845,23366.19,23426.53
AB,"AB12 3HE",56,574159,10252.85,9288.62
AB,"AB12 3HF",37,415474,11229.02,9734.61
AB,"AB12 3HG",18,205170,11398.34,11491.03
AB,"AB12 3HH",32,348754,10898.57,10794.77
AB,"AB12 3HJ",34,377119,11091.73,10427.37
AB,"AB12 3HW",86,697949,8115.69,7970.69
AB,"AB12 3HY",8,52382,6547.76,7253.41
AB,"AB12 3HZ",49,317812,6485.97,6348.92
AB,"AB12 3JD",8,165371,20671.41,20833.21
AB,"AB12 3JE",34,334048,9824.95,10044.45
AB,"AB12 3JF",14,245804,17557.42,18008.63
AB,"AB12 3JH",25,268111,10724.42,9345.19
AB,"AB12 3JJ",11,260030,23639.13,25439.73
AB,"AB12 3JN",22,565742,25715.53,26415.29
AB,"AB12 3JQ",11,268210,24382.76,21452.38
AB,"AB12 3JR",45,942352,20941.16,17813.42
AB,"AB12 3JS",7,162187,23169.54,23827.97
AB,"AB12 3JT",5,95608,19121.57,18993.7
AB,"AB12 3JU",18,328196,18233.1,18246.89
AB,"AB12 3JW",35,383111,10946.02,10946.93
AB,"AB12 3JX",5,107282,21456.34,19921.71
AB,"AB12 3JY",64,676034,10563.02,10099.01
AB,"AB12 3JZ",6,146995,24499.15,19217.84
AB,"AB12 3LE",5,180985,36196.94,34731.9
AB,"AB12 3LF",7,186573,26653.29,33865.08
AB,"AB12 3LH",7,193976,27710.88,16977.64
AB,"AB12 3LL",12,309065,25755.42,24327.52
AB,"AB12 3LW",5,176548,35309.51,38985.83
AB,"AB12 3LX",8,185986,23248.22,18851.05
AB,"AB12 3LY",7,197021,28145.79,24425.27
AB,"AB12 3LZ",14,128727,9194.75,9388.23
AB,"AB12 3NA",18,295271,16403.94,16442.92
AB,"AB12 3NB",13,241953,18611.75,16475.96
AB,"AB12 3ND",5,64050,12809.96,9258.09
AB,"AB12 3NE",6,164474,27412.38,25706.52
AB,"AB12 3NF",54,514041,9519.27,9155.48
AB,"AB12 3NG",30,297626,9920.85,10038.94
AB,"AB12 3NH",14,128592,9185.15,9111.43
AB,"AB12 3NJ",8,109627,13703.33,13550.27
AB,"AB12 3NL",5,49804,9960.86,10505.45
AB,"AB12 3NN",7,129123,18446.11,21045.94
AB,"AB12 3NR",19,210282,11067.48,8660.44
AB,"AB12 3NS",8,205041,25630.19,23722.36
AB,"AB12 3NU",30,391048,13034.93,12152.75
AB,"AB12 3NW",30,316402,10546.73,10392.33
AB,"AB12 3NX",6,174447,29074.5,25808.13
AB,"AB12 3NY",11,164172,14924.72,14405.7
AB,"AB12 3NZ",23,376691,16377.85,15597
AB,"AB12 3PA",10,136503,13650.33,9256.35
AB,"AB12 3PB",19,277112,14584.84,13847.09
AB,"AB12 3PD",5,44078,8815.61,8516.28
AB,"AB12 3PE",17,222615,13094.98,11676.73
AB,"AB12 3PF",7,80882,11554.59,11103.1
AB,"AB12 3PH",27,403997,14962.87,12236.34
AB,"AB12 3PJ",21,272079,12956.14,12782.93
AB,"AB12 3PL",17,284177,16716.28,17131.67
AB,"AB12 3PP",8,149550,18693.75,19363.11
AB,"AB12 3PQ",18,321764,17875.8,18229.37
AB,"AB12 3PR",10,186617,18661.74,17135.18
AB,"AB12 3PU",21,278066,13241.24,13773.01
AB,"AB12 3PW",10,174869,17486.86,18326.98
AB,"AB12 3PX",11,141294,12844.91,10640.6
AB,"AB12 3PY",75,886808,11824.1,10875.85
AB,"AB12 3PZ",15,173518,11567.89,12107.2
AB,"AB12 3QB",15,199975,13331.66,12179.28
AB,"AB12 3QD",21,217094,10337.79,9333.17
AB,"AB12 3QE",38,609501,16039.51,15993.93
AB,"AB12 3QF",15,127142,8476.15,7923.64
AB,"AB12 3QG",21,428450,20402.38,20022.82
AB,"AB12 3QN",16,181631,11351.94,10376.31
